Date,Value
2018.06.07,3054.59169400
2018.06.08,3153.06897900
2018.06.09,3182.61322333
2018.06.10,3212.15746767
2018.06.11,3241.70171200
2018.06.12,3305.07419100
2018.06.13,3299.48228900
2018.06.14,3303.90380200
2018.06.15,3288.81467600
2018.06.16,3286.59958400
2018.06.17,3284.38449200
2018.06.18,3282.16940000
2018.06.19,3243.82684200
2018.06.20,3232.57482100
2018.06.21,3158.04146900
2018.06.22,3132.47524500
2018.06.23,3095.93474600
2018.06.24,3059.39424700
2018.06.25,3022.85374800
2018.06.26,2950.81309900
2018.06.27,2816.06427800
2018.06.28,2721.52371600
2018.06.29,2656.23391600
2018.06.30,2639.26593300
2018.07.01,2622.29795000
2018.07.02,2605.32996700
2018.07.03,2593.33044200
2018.07.04,2619.81731850
2018.07.05,2646.30419500
2018.07.06,2755.01523300
2018.07.07,2796.57285367
2018.07.08,2838.13047433
2018.07.09,2879.68809500
2018.07.10,2979.83495100
2018.07.11,2992.36133800
2018.07.12,3027.70959200
2018.07.13,3045.49380200
2018.07.14,3031.28647867
2018.07.15,3017.07915533
2018.07.16,3002.87183200
2018.07.17,2978.36568800
2018.07.18,2959.97110700
2018.07.19,2963.74388500
2018.07.20,2948.65089000
2018.07.21,2934.00163533
2018.07.22,2919.35238067
2018.07.23,2904.70312600
2018.07.24,2844.40427100
2018.07.25,2820.42672900
2018.07.26,2816.92379700
2018.07.27,2752.84417100
2018.07.28,2728.19340400
2018.07.29,2703.54263700
2018.07.30,2678.89187000
2018.07.31,2659.01819400
2018.08.01,2596.48110900
2018.08.02,2562.67949600
2018.08.03,2552.11572000
2018.08.04,2556.11818400
2018.08.05,2560.12064800
2018.08.06,2564.12311200
2018.08.07,2575.71881700
2018.08.08,2567.40455100
2018.08.09,2553.60883100
2018.08.10,2485.89544600
2018.08.11,2449.27063867
2018.08.12,2412.64583133
2018.08.13,2376.02102400
2018.08.14,2341.39828900
2018.08.15,2253.93885800
2018.08.16,2245.49135100
2018.08.17,2290.09127600
2018.08.18,2319.15210233
2018.08.19,2348.21292867
2018.08.20,2377.27375500
2018.08.21,2487.52840600
2018.08.22,2579.45849000
2018.08.23,2605.41142000
2018.08.24,2676.37411800
2018.08.25,2705.40453000
2018.08.26,2734.43494200
2018.08.27,2763.46535400
2018.08.28,2821.31103400
2018.08.29,2889.26253500
2018.08.30,2896.51475600
2018.08.31,2904.58283100
2018.09.01,2893.13915375
2018.09.02,2881.69547650
2018.09.03,2870.25179925
2018.09.04,2858.80812200
2018.09.05,2795.12670400
2018.09.06,2705.10345800
2018.09.07,2568.35806600
2018.09.08,2538.13836567
2018.09.09,2507.91866533
2018.09.10,2477.69896500
2018.09.11,2397.39694000
2018.09.12,2338.25172300
2018.09.13,2300.89130400
2018.09.14,2266.89368900
2018.09.15,2244.47621267
2018.09.16,2222.05873633
2018.09.17,2199.64126000
2018.09.18,2153.04222700
2018.09.19,2090.38484200
2018.09.20,2082.76085400
2018.09.21,2072.12854000
2018.09.22,2050.02811633
2018.09.23,2027.92769267
2018.09.24,2005.82726900
2018.09.25,1926.86054600
2018.09.26,1816.40969500
2018.09.27,1734.34216900
2018.09.28,1678.10272300
2018.09.29,1651.34430967
2018.09.30,1624.58589633
2018.10.01,1597.82748300
2018.10.02,1495.00301600
2018.10.03,1401.96308100
2018.10.04,1230.85412200
2018.10.05,1032.35169100
2018.10.06,976.19124527
2018.10.07,920.03079953
2018.10.08,863.87035380
2018.10.09,713.19945900
2018.10.10,468.60984650
2018.10.11,259.59267870
2018.10.12,107.08503680
2018.10.13,74.29188380
2018.10.14,41.49873079
2018.10.15,8.70557779
2018.10.16,34.39761244
2018.10.17,23.44231401
2018.10.18,-59.84167771
2018.10.19,-129.00028230
2018.10.20,-155.41215077
2018.10.21,-181.82401923
2018.10.22,-208.23588770
2018.10.23,-327.79115100
2018.10.24,-506.32194530
2018.10.25,-583.78416470
2018.10.26,-708.54544150
2018.10.27,-748.68816297
2018.10.28,-788.83088443
2018.10.29,-828.97360590
2018.10.30,-862.79481850
2018.10.31,-852.34798110
2018.11.01,-758.45419530
2018.11.02,-690.23273740
2018.11.03,-653.53923400
2018.11.04,-616.84573060
2018.11.05,-580.15222720
2018.11.06,-440.83262990
2018.11.07,-237.16021100
2018.11.08,-65.53449184
2018.11.09,34.03317052
2018.11.10,40.68656568
2018.11.11,47.33996083
2018.11.12,53.99335599
2018.11.13,70.48934778
2018.11.14,58.99097403
2018.11.15,75.21490960
2018.11.16,101.76030000
2018.11.17,87.38946907
2018.11.18,73.01863815
2018.11.19,58.64780722
2018.11.20,-77.75661310
2018.11.21,-117.59360940
2018.11.22,-139.65494130
2018.11.23,-161.71627320
2018.11.24,-158.85503860
2018.11.25,-155.99380400
2018.11.26,-153.13256940
2018.11.27,-173.32783980
2018.11.28,-93.87815678
2018.11.29,-29.32928702
2018.11.30,43.50664306
2018.12.01,89.40903874
